Date,Site ID,Call Setup Success Rate ,CSFB Preparation Success Rate,DL Traffic In GB,UL Traffic In GB,Total Traffic in GB,Average User Throughput in DownLink In Mbps,Average User Throughput in UpLink In Mbps,Average DL PDCP Throughput In Mbps,Average UL PDCP Throughput In Mbps,PS Drop Call Rate,Average Number of Users in a Cell,Intra Frequency HOSR,Inter Frequency HOSR,Cell_Availability,DL BLER ,DL PRB Utilization ,UL PRB Utilization 
11-11-2025,Site_5,99.87497003,99.89808052,360.284202,62.23245156,422.5166535,20.54151378,1.150092415,13.69870971,2.442707425,0.068920184,22.96305941,98.63833404,99.90992864,100,6.069392037,24.08346381,10.92821207
11-11-2025,Site_3,99.7919567,99.86445273,506.2350637,77.38910794,583.6241716,17.22746244,0.550192188,12.33595844,1.514278669,0.139253048,11.98897377,99.47352411,99.71399626,100,7.852371437,24.19665735,15.74188027
11-11-2025,Site_1,99.71674595,99.7440273,725.28592,98.31328595,823.599206,14.05727036,0.290871908,12.31883334,1.292659249,0.176980969,16.68582562,99.01038615,99.58399384,100,8.257364705,29.51560899,18.98782094
12-11-2025,Site_5,99.87195462,99.88395225,365.271728,64.64315951,429.9148875,19.56379121,1.103246941,14.55855279,2.644617401,0.084742001,22.32000386,98.63415675,99.27395934,100,5.989650578,25.38669634,11.60555497
12-11-2025,Site_2,99.84676349,100,687.3551997,95.05690682,782.4121065,19.18549292,0.469257824,13.83921478,1.603526373,0.104728653,14.8681983,99.13195859,99.56324408,100,6.734553323,26.70643648,15.3102668
12-11-2025,Site_4,99.76748865,99.90501069,398.6246948,57.98315287,456.6078477,14.72995308,0.582639376,12.71273776,1.625602356,0.102262489,11.94087577,99.09931756,98.87719882,100,6.737923741,26.2559431,12.32411172
12-11-2025,Site_1,99.73883494,99.99067251,784.4153407,99.11723173,883.5325724,14.01164434,0.322838893,12.94327707,1.309713496,0.176937588,16.8441821,98.94261402,99.54214192,100,8.458185028,31.81681794,18.05924391
12-11-2025,Site_3,99.80360864,99.8943538,517.1278608,77.74271977,594.8705806,16.71908807,0.615475959,12.63966924,1.605547448,0.144906319,12.19436728,99.47499597,99.61304636,100,7.765588247,25.60254062,15.60685613
13-11-2025,Site_1,99.75750622,99.95940899,786.6300354,104.8548683,891.4849037,13.53919375,0.361071929,12.30149744,1.3197811,0.147588092,17.81677469,98.92437311,99.63239244,100,8.720260752,31.03122278,17.67437914
13-11-2025,Site_3,99.79396454,99.89316239,538.5320666,78.57373559,617.1058022,15.87717702,0.567419863,13.02939187,1.595020985,0.150518721,11.92686728,99.348462,99.53781513,100,7.731227994,27.68753203,16.33354341
13-11-2025,Site_2,99.84264675,99.98759151,737.5957106,93.21557605,830.8112867,17.53395862,0.434536083,14.00441637,1.480030796,0.104529253,15.12771605,98.79119596,99.50009987,100,7.083307771,28.8827021,15.49586584
13-11-2025,Site_5,99.87688062,99.86419963,378.2103051,64.21505463,442.4253597,18.06262651,1.224332522,14.71258284,2.551416471,0.088492443,22.69758873,98.62440571,99.8756322,100,6.1553801,27.32632255,12.20197404
13-11-2025,Site_4,99.815921,99.91238638,477.4630938,70.42028046,547.8833742,13.15167249,0.688621711,13.64189882,1.818397833,0.100653806,12.82150367,98.95958593,99.13060256,100,6.94555726,29.89076798,13.81240212
14-11-2025,Site_1,99.74253819,99.93449066,852.8541316,112.9844913,965.8386229,13.48676623,0.37442652,13.07377775,1.426328064,0.151415326,18.52945988,98.99950937,99.62409945,100,8.491693039,33.84449653,18.35371211
14-11-2025,Site_5,99.88453065,99.87285442,395.635157,63.56572068,459.2008777,20.573028,1.23674832,14.90542878,2.489128763,0.071072641,22.34625772,98.92181097,99.87261146,100,6.195863562,26.28495523,11.24592065
14-11-2025,Site_4,99.78225095,99.98945259,484.3308216,70.12290537,554.453727,12.4080701,0.622588163,13.30410423,1.719869284,0.126659857,13.3103588,98.98664355,99.08152246,100,7.134315866,31.13474633,14.18735983
14-11-2025,Site_3,99.78184279,99.92906963,580.7291316,80.38051581,661.1096474,15.17730291,0.520687854,13.06478959,1.524350892,0.161557636,12.67100694,99.43589421,99.6037956,100,7.948487456,28.99591262,15.59177406
14-11-2025,Site_2,99.86606288,99.98831912,781.5908672,95.31472659,876.9055938,17.41590022,0.432715658,14.22451164,1.482042977,0.09942491,15.92409722,98.80129545,99.73422154,100,7.036119295,29.39009082,15.07273541
15-11-2025,Site_2,99.83122491,99.9875467,721.1620225,92.36571991,813.5277424,18.49421706,0.480012319,14.16043013,1.520057685,0.116117138,15.26225309,98.49615769,99.58947067,100,6.924962933,27.59733627,15.64747751
15-11-2025,Site_4,99.790762,99.96899866,428.8787152,62.14452088,491.023236,12.38888813,0.571792624,12.2074832,1.546852198,0.11133586,13.14338831,98.9547169,99.24464168,100,7.093220727,28.26264883,12.87477418
15-11-2025,Site_3,99.79118481,99.79699069,598.3649524,79.9662056,678.331158,15.82136775,0.58620754,13.28413644,1.516170459,0.142440929,12.6118287,99.48245699,99.6967265,100,8.149042232,28.0921398,15.83817477
15-11-2025,Site_1,99.75700883,99.97413347,798.8898296,101.7363274,900.626157,13.92118702,0.405652278,13.12465667,1.360264656,0.148068295,17.31371142,98.98416162,99.73527117,100,8.391569794,31.88460757,17.80372326
15-11-2025,Site_5,99.86001907,99.78524314,399.8244802,71.58343494,471.4079151,18.96525123,1.244890329,14.66920604,2.663806273,0.069893652,23.09570795,98.8896677,99.86320109,100,6.204640679,27.13554379,12.21397973
16-11-2025,Site_4,99.7877326,99.96755354,409.2275234,61.32065332,470.5481768,14.39001184,0.598716811,12.37663181,1.620659533,0.124172619,12.59874132,98.98070415,99.10809942,100,6.917478248,27.60378553,12.68945808
16-11-2025,Site_5,99.89377847,99.88596047,410.0752063,80.61955142,490.6947577,16.80804541,1.342285583,14.98432914,2.970483111,0.068979027,26.26938657,98.81756112,99.89837398,100,6.014576615,28.87500353,13.70799721
16-11-2025,Site_2,99.85501885,99.9639076,699.7485577,90.19888401,789.9474417,19.13982654,0.489092611,13.80464837,1.463520397,0.105912747,14.81833719,98.76937821,99.65159877,100,7.160467592,27.1201015,15.21780799
16-11-2025,Site_3,99.78760684,99.9522274,527.6507305,78.92203236,606.5727628,15.51655903,0.540721839,12.49981995,1.535250199,0.152447162,12.85213053,99.44525715,99.24787158,99.95733025,7.72393925,26.69473265,16.89808673
16-11-2025,Site_1,99.76406832,100,764.570333,103.1316448,867.7019778,13.68220637,0.447214007,12.81659446,1.405067667,0.130170042,16.69788194,98.94658145,99.73612256,100,8.461211293,31.85486008,18.87886623
17-11-2025,Site_2,99.85519754,99.92527089,707.1965208,91.53356659,798.7300874,19.07261005,0.50736794,14.64231875,1.60984753,0.101730249,14.60373071,99.02144951,99.51970245,100,7.026716621,28.76850157,16.71679291
17-11-2025,Site_1,99.74914014,99.98103906,760.4965659,100.81059,861.307156,13.84351017,0.439994021,12.84104132,1.384828287,0.144102568,16.60880015,98.9894266,99.6151053,100,8.430004896,32.09059444,18.35055913
17-11-2025,Site_4,99.82019598,100,409.2912711,69.42076528,478.7120364,13.87016581,0.849159344,12.63612064,1.902281966,0.100909985,12.29035494,99.0275766,99.28642891,100,6.887446132,27.92080146,13.21601796
17-11-2025,Site_3,99.80251717,99.87512488,525.6722091,72.13555372,597.8077629,16.00311133,0.574823209,12.88706275,1.517051345,0.126123836,11.81334105,99.46517187,99.67613996,100,7.588696912,28.11324226,15.99491738
17-11-2025,Site_5,99.89253576,99.89263987,401.726725,82.38639128,484.1131163,17.81514527,1.363099749,14.43096609,2.973340364,0.115698858,26.95691551,98.6511572,99.80796664,100,6.028270346,27.85345078,13.45673611
18-11-2025,Site_3,99.77436039,99.92712256,528.1238608,71.5943774,599.7182382,15.80235034,0.526001943,12.69939234,1.448170899,0.135342016,11.78784336,99.37052623,99.64885276,100,7.603568833,27.74057137,15.48225623
18-11-2025,Site_1,99.71953142,99.959992,752.9639703,92.44195354,845.4059238,13.45061967,0.334089785,12.89083033,1.259429863,0.158514308,16.1676196,98.86346973,99.57997457,100,8.654633819,31.47473298,17.78004326
18-11-2025,Site_5,99.86535565,99.89224138,398.6460501,70.41460168,469.0606518,17.14148108,1.157495014,14.52785115,2.549532224,0.088680435,23.59864005,98.72938996,99.88683782,100,6.16448473,27.95367606,13.1542448
18-11-2025,Site_4,99.78991866,99.9783456,386.7394022,58.42475688,445.1641591,12.65203035,0.574355353,12.25440655,1.640646965,0.119600407,11.82913291,98.84501395,98.69622306,100,6.992721121,27.38559443,12.47175996
18-11-2025,Site_2,99.8375692,99.89065727,701.4114662,89.47626925,790.8877355,16.88098938,0.358468986,13.74784299,1.433010194,0.115953455,14.81686343,98.26942615,99.54454608,100,7.104381471,27.92341404,16.23957968
19-11-2025,Site_1,99.75009696,99.97121474,731.9579631,90.67985487,822.637818,14.5931731,0.373610887,12.6284765,1.272566397,0.140685629,16.02366127,98.76615952,99.53748071,100,8.481134735,30.80912478,16.99059335
19-11-2025,Site_3,99.78965199,99.90513459,546.4271182,77.66650105,624.0936192,17.42512984,0.621313014,13.07224479,1.62160771,0.123435324,12.03879244,99.33168338,99.77080496,100,7.588818857,27.17376629,15.16220728
19-11-2025,Site_2,99.85094061,99.97411338,718.4743479,89.69754112,808.1718891,17.73251341,0.433118158,14.06516523,1.45878119,0.118350905,14.9502392,98.51812044,99.59135742,100,7.095777363,28.47508603,16.18309079
19-11-2025,Site_5,99.85243366,99.88986784,431.6645401,72.73700321,504.4015433,17.54362963,1.104832534,14.79408375,2.518599439,0.090227358,24.78396026,98.79917993,99.87375256,100,6.35611883,30.49369575,13.17653934
19-11-2025,Site_4,99.77959358,99.98115696,412.7440771,67.7388016,480.4828787,12.58880673,0.68323409,12.28823416,1.817715314,0.124944709,12.57947049,98.94259203,99.32397686,100,7.030416547,29.40110454,13.54628456
20-11-2025,Site_2,99.83479242,99.85014409,667.8593982,88.95439863,756.8137969,17.44825536,0.438868184,13.32637887,1.465818345,0.10369612,14.90934414,98.82117949,99.45374892,100,6.78940681,27.08534219,15.22209879
20-11-2025,Site_5,99.87032627,99.95843724,405.2173388,65.54332232,470.7606611,18.28139789,1.124532047,14.15445543,2.394793578,0.076078951,24.46194059,98.69363053,99.81164283,100,6.287572754,27.7704803,11.57260519
20-11-2025,Site_4,99.78010298,99.98086491,426.83137,70.77650368,497.6078737,12.6206253,0.883309937,12.82231767,1.860034306,0.120949403,12.77526042,99.02141134,99.33411712,100,6.97511396,27.50155994,13.17416268
20-11-2025,Site_3,99.78459967,99.95451961,512.6419386,74.12700379,586.7689424,15.74276727,0.594853856,12.63182436,1.583265439,0.131726807,11.92438272,99.31135686,99.52539341,100,8.049476879,26.6068794,14.38922049
20-11-2025,Site_1,99.74633501,100,738.0070858,93.05317259,831.0602584,14.27078125,0.375453472,12.70327596,1.273275703,0.159505871,16.20483109,98.64619839,99.66440745,99.96188272,8.663930617,30.04393524,16.90408505
21-11-2025,Site_2,99.85411465,100,747.8612133,95.40893042,843.2701437,16.60830456,0.444830767,13.73490885,1.473650073,0.107465689,15.52540509,98.81823989,99.55962973,100,7.16571106,29.11440905,15.26819457
21-11-2025,Site_5,99.55332121,99.86849027,423.799963,76.20361948,500.0035825,17.14980854,1.127909742,14.26569015,2.474710865,0.806735513,25.67213542,98.69355749,99.64497041,99.53568673,6.241220782,28.97502053,12.93780535
